qseqid	hogid	overlap	family-score	subfamily-score	qseqlen	subfamily-medianseqlen
tr|A0A4U1EBP7|A0A4U1EBP7_MONMO	HOG:D0610748.3h	0.3584905660377358	0.2607086833025482	0.019228715765767304	213	131
tr|A0A4U1ECK4|A0A4U1ECK4_MONMO	HOG:D0639268.4b	0.9436619718309859	0.46522826074086754	0.35055688488356246	214	217
tr|A0A4U1EFA0|A0A4U1EFA0_MONMO	HOG:D0686079.14a.4a.3b	0.7280701754385965	0.7154176687094439	0.3111027895297408	115	81
tr|A0A4U1EFH7|A0A4U1EFH7_MONMO	HOG:D0630536.1a	1.0	0.8629835900248849	0.8376764989534823	368	343
tr|A0A4U1EFL3|A0A4U1EFL3_MONMO	HOG:D0600315	0.868995633187773	0.8220565666085374	0.8220565666085374	688	519
tr|A0A4U1EFT0|A0A4U1EFT0_MONMO	HOG:D0630369.3b	1.0	0.9279893121924166	0.7524074710636052	605	1242
tr|A0A4U1EFZ8|A0A4U1EFZ8_MONMO	HOG:D0680488.5a.1d.4g.14a.14b	1.0	0.9477370505382664	0.34780475102683694	315	301
tr|A0A4U1EG57|A0A4U1EG57_MONMO	HOG:D0680215.9a.20g.17c.41a	1.0	0.9887876258385757	0.714111831105406	413	428
tr|A0A4U1EG60|A0A4U1EG60_MONMO	HOG:D0615503	0.9513399153737658	0.8856466142644822	0.8856466142644822	1419	1380
tr|A0A4U1EGM1|A0A4U1EGM1_MONMO	HOG:D0613816.1b	0.5214723926380368	0.4667328827312385	0.04089150325197997	490	459
tr|A0A4U1EHK1|A0A4U1EHK1_MONMO	HOG:D0629958.2b	0.8550295857988166	0.3929515527261998	0.004897906844496098	339	184
tr|A0A4U1EHN4|A0A4U1EHN4_MONMO	HOG:D0905969.3b.6b.19b.9b	1.0	0.7260493827309841	0.49993705024004736	150	149
tr|A0A4U1EIX2|A0A4U1EIX2_MONMO	HOG:D0679882.5g.8c.8a.10b.10a.9b.19b	1.0	0.9848881330317559	0.7222156593235938	367	534
tr|A0A4U1EIX3|A0A4U1EIX3_MONMO	HOG:D0622294	0.7985074626865671	0.7827719541277965	0.7827719541277965	537	457
tr|A0A4U1EJN3|A0A4U1EJN3_MONMO	HOG:D0682901.10a.5c.7c.28a.46a	1.0	0.7954561524069491	0.3090591997858479	193	137
tr|A0A4U1EK25|A0A4U1EK25_MONMO	HOG:D0681227	0.8444444444444444	0.7523383976635009	0.025159862675144563	316	264
tr|A0A4U1ELW6|A0A4U1ELW6_MONMO	HOG:D0613714	0.8963730569948186	0.7590517066680673	0.7590517066680673	580	552
tr|A0A4U1EN71|A0A4U1EN71_MONMO	HOG:D0659408.1b.1b.4b	1.0	0.9962402333220461	0.9931618630510263	573	592
tr|A0A4U1ENJ2|A0A4U1ENJ2_MONMO	HOG:D0695505.3h.23d	0.9983079526226735	0.952272725495507	0.9516692327998483	1183	1131
tr|A0A4U1ENW2|A0A4U1ENW2_MONMO	HOG:D0621196	0.9911242603550295	0.9436230130646687	0.9436230130646687	677	674
tr|A0A4U1ENW3|A0A4U1ENW3_MONMO	HOG:D0673205.2c	0.9293193717277487	0.8865642389688781	0.8574044219457099	383	347
tr|A0A4U1EP20|A0A4U1EP20_MONMO	HOG:D0623333.3b	0.9959919839679359	0.9681275587503573	0.5333124882478041	500	511
tr|A0A4U1EPI2|A0A4U1EPI2_MONMO	HOG:D0679730.7a.13a	1.0	0.9267320171714235	0.9184498987649526	262	633
tr|A0A4U1EQD2|A0A4U1EQD2_MONMO	HOG:D0660792.3d	0.994994994994995	0.9721063290101569	0.9557583759298155	1000	1092
tr|A0A4U1ESE4|A0A4U1ESE4_MONMO	HOG:D0621495.1a	0.8584905660377359	0.8276974056267307	0.02142157334627949	531	644
tr|A0A4U1ESF6|A0A4U1ESF6_MONMO	HOG:D0623744	1.0	0.9799067682876359	0.9799067682876359	713	713
tr|A0A4U1ETR2|A0A4U1ETR2_MONMO	HOG:D0671116	0.9855491329479769	0.2274486302072771	0.0127308866036387	347	624
tr|A0A4U1ETZ1|A0A4U1ETZ1_MONMO	HOG:D0683370.3b.19b.31b.24c.10b.8c	1.0	0.8363685209460058	0.15992587167012726	135	118
tr|A0A4U1EU74|A0A4U1EU74_MONMO	HOG:D0863297	1.0	0.14170310124379826	0.02941094998159876	106	382
tr|A0A4U1EUZ9|A0A4U1EUZ9_MONMO	HOG:D0679398.5a.9b.33f.28d.10b.6b.2b.3b.2c.1a	1.0	0.8116479840086961	0.10904797275035447	269	268
tr|A0A4U1EVD4|A0A4U1EVD4_MONMO	HOG:D0679448.10hl.250t.271b.215a	1.0	0.9600279701129282	0.77324809501373	556	589
tr|A0A4U1EVH8|A0A4U1EVH8_MONMO	HOG:D0662120.2b.2a	0.45483870967741935	0.4444239293356186	0.15034087559223044	311	697
