qseqid	hogid	overlap	family-score	subfamily-score	qseqlen	subfamily-medianseqlen
XP_029056680.1	HOG:D0610964	0.9611650485436893	0.8977807045205435	0.8977807045205435	104	128
XP_029056681.1	HOG:D0680217.6a.13a.19a	1.0	0.9833688305006253	0.9794938301286185	409	412
XP_029056682.1	HOG:D0638421.1b.1c.4b.3a.2b.1b	0.735632183908046	0.7246157237325064	0.12589957263448598	436	420
XP_029056683.1	HOG:D0639107.1b.1b.3b	1.0	0.9804867690348844	0.9705015390941814	269	266
XP_029056684.1	HOG:D0658978.1d.6a	0.875	0.6976596196634944	0.0454509333738226	145	315
XP_029056685.1	HOG:D0658978.1d.6a.3b	0.9618320610687023	0.769667308019078	0.06451325931999013	132	240
XP_029056686.1	HOG:D0629313	1.0	0.9054906639075674	0.9054906639075674	2146	2076
XP_029056687.1	HOG:D0674351.1b.5b	0.9940740740740741	0.9446361767938175	0.8162595373723652	1351	1454
XP_029056688.1	HOG:D0680217.6a.13a.19a	0.9264705882352942	0.5703706403903209	0.4723496979555673	273	412
XP_029056689.1	HOG:D0662019.2b.3a.3a.1b.2a	1.0	0.9349376280607089	0.6724907155501345	598	432
XP_029056690.1	HOG:D0662019.2b.3a.3a.1b.2a	0.9849906191369606	0.9173119187986782	0.598087142540378	534	432
XP_029056691.1	HOG:D0672160	1.0	0.9650048576074162	0.9650048576074162	576	574
XP_029056692.1	HOG:D0672160	1.0	0.9533777353823791	0.9533777353823791	518	574
XP_029056693.1	HOG:D0672160	0.9700854700854701	0.9377411231666468	0.9377411231666468	469	574
XP_029056694.1	HOG:D0683037.3a	0.6742081447963801	0.6657492020687532	0.6162931972683572	222	203
XP_029056695.1	HOG:D0683037.3a	0.8086124401913876	0.8029357933778634	0.7719374254202335	210	203
XP_029056696.1	HOG:D0683037.3a	1.0	0.9991529197071558	0.9991529197071558	204	203
XP_029056697.1	HOG:D0683037.3a	0.7802197802197802	0.7447537720549593	0.708871078947607	183	203
XP_029056698.1	HOG:D0642678.1a.2a.3b	1.0	0.9680163760825153	0.932051954293267	261	258
XP_029056699.1	HOG:D0642678.1a.2a.3b	0.8611111111111112	0.8334464688854966	0.693885509304352	253	258
XP_029056700.1	HOG:D0642678.1a.2a.3b	0.8934426229508197	0.8655555789877651	0.7438641967928767	245	258
XP_029056701.1	HOG:D0671207.6z.49b.23f.35j	1.0	0.9997542597000348	0.9997542597000348	1028	1022
XP_029056702.1	HOG:D0642678.1a.2a.3b	0.9434782608695652	0.914976805158936	0.8302109738870544	231	258
XP_029056703.1	HOG:D0639104	1.0	0.9585865470516619	0.9585865470516619	376	361
XP_029056704.1	HOG:D0639104	1.0	0.9850620467748646	0.9850620467748646	362	361
XP_029056705.1	HOG:D0639104	1.0	0.9702927479323114	0.9702927479323114	319	361
XP_029056706.1	HOG:D0639104	1.0	0.9663290619718112	0.9663290619718112	310	361
XP_029056707.1	HOG:D0628807	1.0	0.9622714448956856	0.9622714448956856	609	608
XP_029056708.1	HOG:D0620074.1b.2b	0.9734848484848485	0.6868130402430598	0.28945821936485233	265	257
XP_029056709.1	HOG:D0671207.6z.49b.23f.35j	1.0	0.9998493732310443	0.9998493732310443	1015	1022
XP_029056710.1	HOG:D0620074.1b.2b	1.0	0.7161249324718422	0.337336404771952	200	257
XP_029056711.1	HOG:D0652071.1a	0.9945945945945946	0.9283698516908916	0.9103391252840995	371	370
XP_029056712.1	HOG:D0646699.3a	1.0	0.9949212210855924	0.9940076984665726	745	745
XP_029056713.1	HOG:D0646699.3a.4b	0.9930362116991643	0.9737296938171247	0.18180850165257983	719	731
XP_029056714.1	HOG:D0660938.1b.3b.4b	0.9969199178644764	0.9920967363132389	0.9724490370897146	975	947
XP_029056715.1	HOG:D0660938.1b.3b.4b	0.9969167523124358	0.992090639399934	0.9724510264005362	974	947
XP_029056716.1	HOG:D0660938.1b.3b.4b	0.9968387776606955	0.9919333375351966	0.9736140543941751	950	947
XP_029056717.1	HOG:D0630349.1b	1.0	0.965277996989098	0.9604452756824279	626	581
XP_029056718.1	HOG:D0630349.1b	1.0	0.9652208853577475	0.9601560185224474	625	581
XP_029056719.1	HOG:D0672219.3b.2a	0.9972477064220183	0.97691991634555	0.9477505427332549	1091	1086
XP_029056720.1	HOG:D0630349.1b	1.0	0.956622448661218	0.9504296939149822	594	581
XP_029056721.1	HOG:D0630349.1b	1.0	0.9512737209185333	0.9446935054400135	528	581
XP_029056722.1	HOG:D0630349.1b	1.0	0.9511789869427827	0.9442125843481339	527	581
XP_029056723.1	HOG:D0630349.1b	1.0	0.9748863710977069	0.9704102309217694	501	581
XP_029056724.1	HOG:D0630349.1b	1.0	0.9748863710977069	0.9704102309217694	501	581
XP_029056725.1	HOG:D0630349.1b	1.0	0.958739009109236	0.9506452133239611	402	581
XP_029056726.1	HOG:D0639105.1b.1a.5a	1.0	0.9999731489472486	0.9999731489472486	377	376
XP_029056727.1	HOG:D0639105.1b.1a.5a	1.0	0.9999830546678775	0.9999830546678775	331	376
XP_029056728.1	HOG:D0639105.1b.1a.5a	1.0	0.9999830546678775	0.9999830546678775	331	376
XP_029056729.1	HOG:D0672219.3b.2a	0.9972375690607734	0.9823683494556237	0.9608687335419882	1087	1086
XP_029056730.1	HOG:D0639105.1b.1a.5a	1.0	0.9999830546678775	0.9999830546678775	331	376
XP_029056731.1	HOG:D0696270.1a.3b.2a.7b	1.0	0.9722717850449708	0.7608095809146489	420	413
XP_029056732.1	HOG:D0696270.1a.3b.2a.7b	1.0	0.9999491456342217	0.9999491456342217	414	413
XP_029056733.1	HOG:D0696270.1a.3b.2a.7b	1.0	0.9546838993105622	0.6443896207249893	366	413
XP_029056734.1	HOG:D0696270.1a.3b.2a.7b	0.8511326860841424	0.8473609900831075	0.3946723742317889	310	413
XP_029056735.1	HOG:D0672219.3b.2a	0.9972375690607734	0.9823683494556237	0.9608687335419882	1087	1086
XP_029056736.1	HOG:D0655536	0.9988876529477196	0.9550668928468755	0.027400377899470904	1799	1774
XP_029056737.1	HOG:D0655536	0.9988623435722411	0.9535500157391364	0.027007088502612357	1759	1774
XP_029056738.1	HOG:D0655536	0.9879445449065702	0.9425914506133966	0.011172252469016299	1660	1774
XP_029056739.1	HOG:D0660360.1a.2c	1.0	0.9835632639650478	0.9684161380013032	471	476
XP_029056740.1	HOG:D0610503.1a.1b	0.9666666666666667	0.6274116027627428	0.08472724823181922	151	151
XP_029056741.1	HOG:D0674952.1a.1c.6b	1.0	0.972897608876054	0.9257619302852866	234	233
XP_029056742.1	HOG:D0672219.3b.2a	0.9972477064220183	0.9769821534628331	0.948693384601499	1091	1086
XP_029056743.1	HOG:D0674952.1a.1c.6b	1.0	0.972897608876054	0.9257619302852866	234	233
XP_029056744.1	HOG:D0674952.1a.1c.6b	0.8044444444444444	0.7720097007598573	0.5866556979114401	226	233
XP_029056745.1	HOG:D0674952.1a.1c.6b.2b	1.0	0.9659923593508332	0.2999984579416305	217	249
XP_029056746.1	HOG:D0671116	0.986046511627907	0.23913366749077017	0.018736326961408235	216	624
XP_029056747.1	HOG:D0639109.2h	0.9633204633204633	0.792187113429097	0.7139377231661518	519	430
XP_029056748.1	HOG:D0679380.10t.449b.444b.260b	1.0	0.9270683852313241	0.03692741851832887	732	693
XP_029056749.1	HOG:D0679469.8r.15b	0.9384615384615385	0.7114973300651165	0.65349681765343	131	188
XP_029056750.1	HOG:D0673624	0.46153846153846156	0.4137118742406555	0.4137118742406555	105	83
XP_029056751.1	HOG:D0629867.1a.2b	1.0	0.9834575834289765	0.9636117502196689	320	319
XP_029056752.1	HOG:D0629867.1a.2b	0.9923076923076923	0.9718730237180949	0.9428265082362538	261	319
XP_029056753.1	HOG:D0637253.3b	0.660952380952381	0.6474231471058304	0.16802404892751974	526	506
XP_029056754.1	HOG:D0629867.1a.2b	0.86328125	0.8399999514787642	0.7094817247371964	257	319
XP_029056755.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9411764705882353	0.9699194480133668	0.8649451980183956	1191	1129
XP_029056756.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9403747870528109	0.986304964419176	0.9419418167076506	1175	1129
XP_029056757.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9907235621521335	0.9712291447577245	0.8384904095301953	1079	1129
XP_029056758.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9097978227060654	0.9709321077706161	0.8635488072837073	644	1129
XP_029056759.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.8326180257510729	0.9079644210630381	0.6898500290162854	467	1129
XP_029056760.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9431818181818182	0.9869306648835203	0.9472088026102357	1233	1129
XP_029056761.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9510603588907015	0.9868764097063311	0.9402364254115937	1227	1129
XP_029056762.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9521149241819633	0.987132815585226	0.9450664138194408	1254	1129
XP_029056763.1	HOG:D0680500.7d.10b.6b.3b.1c.1d	0.9565587734241908	0.9863220138964235	0.9453216165519651	1175	1129
XP_029056764.1	HOG:D0637253.3b	0.6590038314176245	0.6453781011703836	0.16802404892751974	523	506
XP_029056765.1	HOG:D0622957	1.0	0.9812013230009144	0.9812013230009144	330	329
XP_029056766.1	HOG:D0681240.1a.2b.13b	0.9933333333333333	0.9921190892043611	0.9458289703887746	301	300
XP_029056767.1	HOG:D0679437.15a.12a.5b.22a.11b	0.993920972644377	0.9928006219955147	0.5999904380215646	330	327
XP_029056768.1	HOG:D0679464.19d	1.0	0.9975449564389348	0.9975449564389348	1391	1389
XP_029056769.1	HOG:D0679464.19d	1.0	0.9860225427313858	0.9822191591472826	1372	1389
XP_029056770.1	HOG:D0679464.19d	1.0	0.9975545713523415	0.9975545713523415	1285	1389
XP_029056771.1	HOG:D0660531.1a.2a	0.9396863691194209	0.8435839752506333	0.7763011391572753	830	736
XP_029056772.1	HOG:D0637253.3b	0.6328125	0.6187202446795751	0.10634531078448924	513	506
XP_029056773.1	HOG:D0660531.1a.2a	0.9961636828644501	0.9146105698717771	0.8744147229868151	783	736
XP_029056774.1	HOG:D0660531.1a.2a	0.9958448753462604	0.917903398669361	0.8737123403039516	723	736
XP_029056775.1	HOG:D0704718.2b.2n.13b	0.9629629629629629	0.986259895578237	0.8134683579392967	919	917
XP_029056776.1	HOG:D0704718.2b.2n.13b	0.9629629629629629	0.986259895578237	0.8134683579392967	919	917
XP_029056777.1	HOG:D0704718.2b.2n.13b	0.9629629629629629	0.986259895578237	0.8134683579392967	919	917
XP_029056778.1	HOG:D0704718.2b.2n.13b	0.9629629629629629	0.986259895578237	0.8134683579392967	919	917
XP_029056779.1	HOG:D0704718.2b.2n.13b	0.9629225736095965	0.991849432476865	0.8927631238788747	918	917
XP_029056780.1	HOG:D0679990.5b.7e.8b.13a	0.8025641025641026	0.7458276801893097	0.5464513158265398	391	322
XP_029056781.1	HOG:D0679990.5b.7e.8b.13a	1.0	0.9917357690944667	0.9851980835475019	323	322
XP_029056782.1	HOG:D0637253.3b	1.0	0.9894100251261496	0.9240130297890413	507	506
XP_029056783.1	HOG:D0679990.5b.7e.8b.13a	0.6518771331058021	0.5781560505855634	0.3662451229248124	294	322
XP_029056784.1	HOG:D0679990.5b.7e.8b.13a	0.8396946564885496	0.7604825103167099	0.5445498181656334	263	322
XP_029056785.1	HOG:D0679990.5b.7e.8b.13a	1.0	0.9917357690944667	0.9851980835475019	323	322
XP_029056786.1	HOG:D0632140.1b.1a	1.0	0.9825706781185644	0.930783993912562	364	363
XP_029056787.1	HOG:D0632140.1b.1a	0.9765395894428153	0.9577237919464034	0.8459236374569795	342	363
XP_029056788.1	HOG:D0632140.1b.1a	0.9911242603550295	0.9723553949106667	0.8963073617529093	339	363
