!omamer-version: 2.0.4
!query-md5: 0ba3df64bec478a636fba2733128daa1
!date-run: 2024-10-16T09:35:19.332361
!db-path: DB/LUCA.h5
!db-info-source: OMA / All.Jul2024
!db-info-root_level: LUCA
!db-info-database_hash: c259ac11f2fe04d44b5e031a6ec1b496
qseqid	hogid	hoglevel	family_p	family_count	family_normcount	subfamily_score	subfamily_count	qseqlen	subfamily_medianseqlen	qseq_overlap
tr|A0A4U1EBP7|A0A4U1EBP7_MONMO	HOG:E0726902	Eutheria	268.93740678726516	57	0.2747268538798071	0.2608681791834621	54	213	132	0.3584905660377358
tr|A0A4U1ECK4|A0A4U1ECK4_MONMO	HOG:E0756190.4a	Theria	510.8661851862156	97	0.4657832949313496	0.3508761543448716	60	214	219	0.9436619718309859
tr|A0A4U1EFA0|A0A4U1EFA0_MONMO	HOG:E0805006.2b.3a.2a.17b	Eutheria	502.82212969611487	78	0.715425999420551	0.31111103459351475	14	115	82	0.7280701754385965
tr|A0A4U1EFH7|A0A4U1EFH7_MONMO	HOG:E0747346.1a	Euteleostomi	1883.4187055429575	313	0.8644390156650428	0.8366614169784093	251	368	344	1.0
tr|A0A4U1EFL3|A0A4U1EFL3_MONMO	HOG:E0716402	Artiodactyla	4050.5147939211665	453	0.8221286878232034	0.8221411581933048	453	688	520	0.9548762736535662
tr|A0A4U1EFT0|A0A4U1EFT0_MONMO	HOG:E0747181.4a	Boreoeutheria	2946.688849035385	558	0.9312901448665518	0.7530081541896917	125	605	1243	1.0
tr|A0A4U1EFZ8|A0A4U1EFZ8_MONMO	HOG:E0801889.5a.4a.15b.21d.19a.17a	Eutheria	1316.3199289305046	296	0.9575294494194424	0.34782594844998654	8	315	302	1.0
tr|A0A4U1EG57|A0A4U1EG57_MONMO	HOG:E0801468.10azz.5039e	Eumetazoa	108.40395802067576	407	1.0	0.888888545689712	8	413	428	1.0
tr|A0A4U1EG60|A0A4U1EG60_MONMO	HOG:E0731606	Mammalia	7696.256781933827	1251	0.8870736639321546	0.8872284561229383	1251	1419	1381	0.9760225669957687
tr|A0A4U1EGM1|A0A4U1EGM1_MONMO	HOG:E0729932.1a	Laurasiatheria	1488.9106700824252	229	0.4729650190518351	0.2813361927458381	101	490	460	0.5214723926380368
tr|A0A4U1EHK1|A0A4U1EHK1_MONMO	HOG:E0750381	Gnathostomata	766.0626388934528	131	0.393098520358244	0.39339202737672563	131	339	185	0.8550295857988166
tr|A0A4U1EHN4|A0A4U1EHN4_MONMO	HOG:E1033224.3b.4b.22b.10b	Amniota	510.8343436532564	107	0.7421405131989648	0.499999416593685	39	150	150	1.0
tr|A0A4U1EIX2|A0A4U1EIX2_MONMO	HOG:E0802091.3e.3b.7a.8a.3b.10a	Euteleostomi	1792.7917194847832	356	0.9860682001711938	0.7619044606772623	16	367	535	1.0
tr|A0A4U1EIX3|A0A4U1EIX3_MONMO	HOG:E0738916	Euteleostomi	2688.018692231621	416	0.7832578931378583	0.7834252730530168	416	537	458	0.7985074626865671
tr|A0A4U1EJN3|A0A4U1EJN3_MONMO	HOG:E0804981.10b.7d.8a.36b.48a	Boreoeutheria	805.1751905044453	149	0.7963389066055451	0.30909080254742044	17	193	138	1.0
tr|A0A4U1EK25|A0A4U1EK25_MONMO	HOG:E0803512	Eukaryota	1110.178280016815	234	0.7538583092475	0.7548217563483667	234	316	265	0.8444444444444444
tr|A0A4U1ELW6|A0A4U1ELW6_MONMO	HOG:E0729831	Theria	2827.944119666749	430	0.7595590405270318	0.7597128487011641	430	580	554	0.8963730569948186
tr|A0A4U1EN71|A0A4U1EN71_MONMO	HOG:E0779040.1b.11b	Theria	3942.7335098580556	565	0.9964695177853342	0.9932870670321395	296	573	593	1.0
tr|A0A4U1ENJ2|A0A4U1ENJ2_MONMO	HOG:E0789550.2a	Eumetazoa	7257.830710116358	1123	0.9540622246450883	0.9539195161494854	1118	1183	1132	0.9983079526226735
tr|A0A4U1ENW2|A0A4U1ENW2_MONMO	HOG:E0737786	Sarcopterygii	4043.2533379154625	633	0.944703149311262	0.9447694023203163	633	677	677	0.992603550295858
tr|A0A4U1ENW3|A0A4U1ENW3_MONMO	HOG:E0794988.4c	Vertebrata	1538.1387352320314	328	0.8906423326730191	0.8540105398789477	234	383	348	0.93717277486911
tr|A0A4U1EP20|A0A4U1EP20_MONMO	HOG:E0739960.3a	Artiodactyla	2950.539460710782	476	0.9733685294402891	0.5333332503585558	16	500	512	1.0
tr|A0A4U1EPI2|A0A4U1EPI2_MONMO	HOG:E0801924.6d.13b	Eumetazoa	1065.8230431412182	238	0.9291028238965376	0.9203368397764252	208	262	638	1.0
tr|A0A4U1EQD2|A0A4U1EQD2_MONMO	HOG:E0779828.3d	Vertebrata	4753.232547371568	967	0.9746353675985564	0.9551134515324928	532	1000	1093	0.994994994994995
tr|A0A4U1ESE4|A0A4U1ESE4_MONMO	HOG:E0739379.5a	Boreoeutheria	2615.747416317729	435	0.828335473332465	0.6399978742959725	160	531	645	0.8584905660377359
tr|A0A4U1ESF6|A0A4U1ESF6_MONMO	HOG:E0740439	Euteleostomi	4095.575450472866	694	0.9815672543792145	0.9816044100284901	694	713	714	1.0
tr|A0A4U1ETR2|A0A4U1ETR2_MONMO	HOG:E0792940	Opisthokonta	41.99341805712544	215	0.427490086193204	0.43456311631446615	148	347	541	0.9884393063583815
tr|A0A4U1ETZ1|A0A4U1ETZ1_MONMO	HOG:E0806396.4a.31a.33b.18a.5c.3b.2b	Sarcopterygii	588.5842414998505	108	0.8368369131526586	0.1599996141834276	4	135	119	1.0
tr|A0A4U1EU74|A0A4U1EU74_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	106	N/A	N/A
tr|A0A4U1EUZ9|A0A4U1EUZ9_MONMO	HOG:E0801554.5e.13a.37f.43c.15c.6a.4b.2a.1a	Mammalia	958.8110693998258	228	0.865703182393533	0.1090905742860676	6	269	269	1.0
tr|A0A4U1EVD4|A0A4U1EVD4_MONMO	HOG:E0801563.10ej.297r.230a.241b	Boreoeutheria	1049.6765262840702	534	0.9669328749742171	0.7536226001565963	52	556	590	1.0
tr|A0A4U1EVH8|A0A4U1EVH8_MONMO	HOG:E0784202.1b.2c.7b	Tetrapoda	603.9686606436824	136	0.4445991992344168	0.15075230532411835	30	311	698	0.45483870967741935
tr|A0A4U1EVT8|A0A4U1EVT8_MONMO	HOG:E0746310	Gnathostomata	4943.779161643802	905	0.9222854334659856	0.9225175064459593	905	987	1240	0.9320486815415822
